observation_id,event_id,location_name_raw,depth_text_raw,traffic_text_raw,depth_min_cm,depth_max_cm,traffic_status,observed_at_local,as_of_local,is_flooded,source_grade,source_publisher,source_url,source_visualisation_id,source_visualisation_version,source_updated_at_utc
VNE_20251007_077,hanoi_matmo_2025_10_07,QL 21B Từ Km6+00-Km7+800,20 cm,Lúc 7h00 các phương tiện lưu thông chậm,20,20,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_078,hanoi_matmo_2025_10_07,Đường Phan Đình Giót,25 cm,Lúc 7h00 các phương tiện lưu thông chậm,25,25,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_079,hanoi_matmo_2025_10_07,Đường QL1 Km195+700-Km195+750,15 cm,Lúc 7h00 các phương tiện lưu thông chậm,15,15,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_080,hanoi_matmo_2025_10_07,Đường QL6 Km27+300(T+P),"Ngập nước 2 bên dài 20 m, rộng 1,5-2 m, sâu 5-7 cm",Lúc 7h00 các phương tiện lưu thông chậm,5,7,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_081,hanoi_matmo_2025_10_07,Phố Hà Trì,20-30 cm,Lúc 7h00 các phương tiện lưu thông chậm,20,30,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_082,hanoi_matmo_2025_10_07,Ngã 5 hạ trì giao với Lê Lợi - Bà Triệu kéo dài đường Hà Trì,30 cm,Lúc 7h00 các phương tiện lưu thông chậm,30,30,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_083,hanoi_matmo_2025_10_07,Đường Nguyễn Thanh Bình từ ngã tư Vạn Phúc (Km3+600) đến Km4+00,10-30 cm,"Lúc 10h00 nước đang rút, các phương tiện lưu thông chậm",10,30,slow,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_084,hanoi_matmo_2025_10_07,Phố Phúc La từ Km1+00-Km1+200,15 cm,Lúc 7h00 các phương tiện lưu thông chậm,15,15,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_085,hanoi_matmo_2025_10_07,Đường Lê Hồng Phong từ trường trung học Lê Hồng Phong đến cổng công an phường dài 200m,25 cm,Lúc 7h00 các phương tiện lưu thông chậm,25,25,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_086,hanoi_matmo_2025_10_07,Đường Văn Khê nước ngập từ Km3+00- Km4+00,10-15 cm,Lúc 7h00 các phương tiện lưu thông chậm,10,15,slow,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
